,mda_round,tc,beta,pfpr0,cr_factor,mda_coverage,strategy,b_drug
381,0,0.55,0.0508,0.5,10,0.9,AAB,KAFLUM
382,0,0.55,0.0508,0.5,10,0.9,ABA,KAFLUM
383,0,0.55,0.0508,0.5,10,0.9,ABB,KAFLUM
384,0,0.55,0.0475,0.1,1,0.6,AAB,DHAPPQ
385,0,0.55,0.0475,0.1,1,0.6,ABA,DHAPPQ
386,0,0.55,0.0475,0.1,1,0.6,ABB,DHAPPQ
387,0,0.55,0.0475,0.1,1,0.6,AAB,KAFLUM
388,0,0.55,0.0475,0.1,1,0.6,ABA,KAFLUM
389,0,0.55,0.0475,0.1,1,0.6,ABB,KAFLUM
390,0,0.55,0.0475,0.1,1,0.7,AAB,DHAPPQ
391,0,0.55,0.0475,0.1,1,0.7,ABA,DHAPPQ
392,0,0.55,0.0475,0.1,1,0.7,ABB,DHAPPQ
393,0,0.55,0.0475,0.1,1,0.7,AAB,KAFLUM
394,0,0.55,0.0475,0.1,1,0.7,ABA,KAFLUM
395,0,0.55,0.0475,0.1,1,0.7,ABB,KAFLUM
396,0,0.55,0.0475,0.1,1,0.8,AAB,DHAPPQ
397,0,0.55,0.0475,0.1,1,0.8,ABA,DHAPPQ
398,0,0.55,0.0475,0.1,1,0.8,ABB,DHAPPQ
399,0,0.55,0.0475,0.1,1,0.8,AAB,KAFLUM
400,0,0.55,0.0475,0.1,1,0.8,ABA,KAFLUM
401,0,0.55,0.0475,0.1,1,0.8,ABB,KAFLUM
402,0,0.55,0.0475,0.1,1,0.9,AAB,DHAPPQ
